Puzzle,Category,Date,Episode_Number,Round
SUNDAY MATINEE,Show Biz,10/13/23,#7840,T2
CREATING CAPTIVATING CONTENT,Same Letter,10/13/23,#7840,R1
WORLD-RENOWNED ARCHITECT,Person,10/13/23,#7840,R2
RIGHT IN THE THICK OF THINGS,Phrase,10/13/23,#7840,R3*
BIRTHDAY BALLOONS,Things,10/13/23,#7840,T3
BIRTHDAY CANDLES,Things,10/13/23,#7840,T4
GAG BIRTHDAY GIFTS,Things,10/13/23,#7840,T5
LITTLE PUPPIES & TINY GUPPIES,Rhyme Time,10/13/23,#7840,R4
FORMING BONDS,What Are You Doing?,10/13/23,#7840,BR
FRIENDLY NEIGHBORS,People,10/16/23,#7841,T1
IOWA CITY IOWA,On the Map,10/16/23,#7841,T2
SOUNDS DELIGHTFUL TO ME,Phrase,10/16/23,#7841,R1
HI BARBIE! HI BARBIE! HI BARBIE! HI BARBIE!,Movie Quote,10/16/23,#7841,R2
BAKED POTATO WITH SOUR CREAM & CHIVES,Food & Drink,10/16/23,#7841,R3*
SIGNING UP FOR A MARATHON,What Are You Doing?,10/16/23,#7841,T3
TRAINING FOR A MARATHON,What Are You Doing?,10/16/23,#7841,T4
RUNNING A HALF MARATHON,What Are You Doing?,10/16/23,#7841,T5
STADIUM SCOREBOARD,Thing,10/16/23,#7841,R4
NEW YOGA PANTS,What Are You Wearing?,10/16/23,#7841,BR
RHODE ISLAND,On the Map,10/17/23,#7842,T1
WHITE-TAILED JACKRABBIT,Living Thing,10/17/23,#7842,T2
FINGERS NUT FLY BEAN,Butter _____,10/17/23,#7842,R1^
PERFORMING A MAGIC TRICK,Show Biz,10/17/23,#7842,R2
EXPERIENCED PROFESSIONAL,Person,10/17/23,#7842,R3*
DESIGNER LUGGAGE,Thing,10/17/23,#7842,T3
ROLLING SUITCASE,Thing,10/17/23,#7842,T4
POCKETBOOK,Thing,10/17/23,#7842,T5
GIVING IT MY ALL,What Are You Doing?,10/17/23,#7842,R4
PEPPERMINT TEA,Food & Drink,10/17/23,#7842,R5
I AM POISED FOR VICTORY,Phrase,10/17/23,#7842,BR
NICE QUIET WEEKEND,Event,10/18/23,#7843,T1
CAREER COUNSELOR,Occupation,10/18/23,#7843,T2
SWANS SPARROWS SWALLOWS & STORKS,Same Letter,10/18/23,#7843,R1
PICKING UP SOME SOUVENIRS,What Are You Doing?,10/18/23,#7843,R2
SWINGING FOR THE FENCES,Fun & Games,10/18/23,#7843,R3*
PRESSURE POINT,Thing,10/18/23,#7843,T3
BOILING POINT,Thing,10/18/23,#7843,T4
THE POINT OF NO RETURN,Thing,10/18/23,#7843,T5
IN THE NICK OF TIME,Phrase,10/18/23,#7843,R4
AMONG THE VERY BEST,Phrase,10/18/23,#7843,BR
WILLIAMSBURG VIRGINIA,On the Map,10/19/23,#7844,T1
VERBAL AGREEMENT,Thing,10/19/23,#7844,T2
INVIGORATING MORNING SWIM,Fun & Games,10/19/23,#7844,R1
CAR KEY LIME PIE,Before & After,10/19/23,#7844,R2
I'LL KEEP THAT IN THE BACK OF MY MIND,Phrase,10/19/23,#7844,R3*
FLYING FISH,Living Thing,10/19/23,#7844,T3
FLYING SQUIRREL,Living Thing,10/19/23,#7844,T4
PENGUIN,Living Thing,10/19/23,#7844,T5
EMBRIODERED PILLOWS,Around the House,10/19/23,#7844,R4
LIGHT APPETIZER,Food & Drink,10/19/23,#7844,BR
WINE COUNTRY,Place,10/20/23,#7845,T1
SAME NAME,Fun & Games,10/20/23,#7845,T2
ASPARAGUS & WING TIPS,Same Name,10/20/23,#7845,R1
NOWHERE ELSE I'D RATHER BE,Phrase,10/20/23,#7845,R2
SPONTANEOUS APPLAUSE,Thing,10/20/23,#7845,R3*
SAVING MONEY,What Are You Doing?,10/20/23,#7845,T3
MAKING INVESTMENTS,What Are You Doing?,10/20/23,#7845,T4
GAMBLING,What Are You Doing?,10/20/23,#7845,T5
MOTORCYCLE MECHANIC,Occupation,10/20/23,#7845,R4
COME JOIN THE PARTY,Phrase,10/20/23,#7845,BR
HALLOWEEN MASK,What Are You Wearing?,10/23/23,#7846,T1
REALITY TELEVISION,Show Biz,10/23/23,#7846,T2
A DARK AND STORMY NIGHT SHIFT,Before & After,10/23/23,#7846,R1
A FIRST TIME FOR EVERYTHING,Phrase,10/23/23,#7846,R2
DRAWING NAMES FROM A HAT,Fun & Games,10/23/23,#7846,R3*
DOCTOR FRANKENSTEIN,Character,10/23/23,#7846,T3
FRANKENSTEIN'S MONSTER,Character,10/23/23,#7846,T4
THE BRIDE OF FRANKENSTEIN,Character,10/23/23,#7846,T5
HISTORIC DISTRICT,Place,10/23/23,#7846,R4
WHIRLPOOL BATHTUB,Around the House,10/23/23,#7846,BR
THE CUTTING EDGE,Phrase,10/24/23,#7847,T1
APPLE ORCHARD,Place,10/24/23,#7847,T2
EXTRAVAGANT PARTIES,Events,10/24/23,#7847,R1
ONCE UPON A MIDNIGHT DREARY,Quotation,10/24/23,#7847,R2
SUPER BOWL CHAMP PATRICK MAHOMES,Proper Name,10/24/23,#7847,R3*
CHOCOLATE MILK,Food & Drink,10/24/23,#7847,T3
MILK CHOCOLATE,Food & Drink,10/24/23,#7847,T4
MILKY WAY BAR,Food & Drink,10/24/23,#7847,T5
SCHOOL LIBRARIAN,Occupation,10/24/23,#7847,R4
MAKING RESERVATIONS,What Are You Doing?,10/24/23,#7847,R5
WHISKED AWAY,Phrase,10/24/23,#7847,BR
A DATE WITH DESTINY,Phrase,10/25/23,#7848,T1
YORKSHIRE PUDDING,Food & Drink,10/25/23,#7848,T2
GHOSTS GOBLINS GREMLINS GARGOYLES,Same Letter,10/25/23,#7848,R1
DIVING WITH MANTA RAYS,What Are You Doing?,10/25/23,#7848,R2
BEAUTIFUL NATIONAL PARKS,Places,10/25/23,#7848,R3*
RHINESTONE,Thing,10/25/23,#7848,T3
GEMSTONE,Thing,10/25/23,#7848,T4
TOMBSTONE,Thing,10/25/23,#7848,T5
READY FREDDY,Rhyme Time,10/25/23,#7848,R4
A COZY HOME,Place,10/25/23,#7848,BR
DRACULA'S CASTLE,Place,10/26/23,#7849,T1
HEALTH & WELLNESS,Things,10/26/23,#7849,T2
REFRESHMENTS WILL BE SERVED,Phrase,10/26/23,#7849,R1
JACK & PITCH-BLACK,Same Name,10/26/23,#7849,R2
PUGSLEY & WEDNESDAY ADDAMS,Family,10/26/23,#7849,R3*
FIGURE SKATER,Person,10/26/23,#7849,T3
SPEED SKATER,Person,10/26/23,#7849,T4
CHEAPSKATE,Person,10/26/23,#7849,T5
GRILLED CHEESE SANDWICH,Food & Drink,10/26/23,#7849,R4
KICKING THINGS OFF,What Are You Doing?,10/26/23,#7849,BR
FULL MOON,Event,10/27/23,#7850,T1
TRUSTED FRIEND,Person,10/27/23,#7850,T2
DEVILS TOWER NATIONAL MONUMENT,Landmark,10/27/23,#7850,R1
BROADWAY TRIPLE FREE FAIR,_____ Play,10/27/23,#7850,R2^
FRESH-CUT PINEAPPLE CHUNKS,Food & Drink,10/27/23,#7850,R3*
THE NEWS OF THE DAY,Thing,10/27/23,#7850,T3
LATE-BREAKING NEWS,Thing,10/27/23,#7850,T4
ANCIENT HISTORY,Thing,10/27/23,#7850,T5
WAX MUSEUM,Place,10/27/23,#7850,R4
BOX OFFICE,Place,10/27/23,#7850,BR
POSITIVE ENERGY,Thing,10/30/23,#7851,T1
ATHLETIC DIRECTOR,Occupation,10/30/23,#7851,T2
ISLANDS IN THE MIDDLE OF THE PACIFIC,Places,10/30/23,#7851,R1
FRESH FALLEN SNOW CONES,Before & After,10/30/23,#7851,R2
PUTTING MY BEST FOOT FORWARD,What Are You Doing?,10/30/23,#7851,R3*
THUNDERSTORM,Event,10/30/23,#7851,T3
SNOWSTORM,Event,10/30/23,#7851,T4
BRAINSTORM,Event,10/30/23,#7851,T5
A FOR EFFORT!,Phrase,10/30/23,#7851,R4
MOVING RIGHT ALONG,What Are You Doing?,10/30/23,#7851,BR
TRICK-OR-TREATING,Fun & Games,10/31/23,#7852,T1
SATELLITE RADIO,Show Biz,10/31/23,#7852,T2
PUMPKIN PIE WITH WHIPPED CREAM,Food & Drink,10/31/23,#7852,R1
JINX HOCUS-POCUS WISH,Magical Words,10/31/23,#7852,R2^
PERSONALIZED LICENSE PLATE,Thing,10/31/23,#7852,R3*
FORCE OF NATURE,Phrase,10/31/23,#7852,T3
IT'S SECOND NATURE,Phrase,10/31/23,#7852,T4
NATURE IS CALLING,Phrase,10/31/23,#7852,T5
ADVENTURE SEEKERS,People,10/31/23,#7852,R4
IMPROVING OUR CHANCES,What Are You Doing?,10/31/23,#7852,BR
BUTTERMILK PANCAKES,Food & Drink,11/1/23,#7853,T1
DOUBLE DARE,Fun & Games,11/1/23,#7853,T2
SHARING VACATION PHOTOS,What Are You Doing?,11/1/23,#7853,R1
LIVING THE GOOD LIFE PRESERVER,Before & After,11/1/23,#7853,R2
CAT ON A HOT TIN ROOF,Title,11/1/23,#7853,R3*
BASEKETBALL PLAYER,Person,11/1/23,#7853,T3
BASEBALL PLAYER,Person,11/1/23,#7853,T4
TEE-BALL PLAYER,Person,11/1/23,#7853,T5
COLLECTION OF KNICKKNACKS,Around the House,11/1/23,#7853,R4
IT MIGHT BE USEFUL,Phrase,11/1/23,#7853,BR
CELEBRITY COUPLE,Show Biz,11/2/23,#7854,T1
FLOCK OF SHEEP,Living Things,11/2/23,#7854,T2
READING A MYSTERY NOVEL,What Are You Doing?,11/2/23,#7854,R1
JEWELRY & CEREAL BOX,Same Name,11/2/23,#7854,R2
WINTER SQUASH WITH CARAMELIZED ONIONS,Food & Drink,11/2/23,#7854,R3*
WEDDING BELLS,Things,11/2/23,#7854,T3
ALARM BELLS,Things,11/2/23,#7854,T4
DUMBBELLS,Things,11/2/23,#7854,T5
PROFESSIONAL CHEF,Occupation,11/2/23,#7854,R4
WATCHING A PARADE,Fun & Games,11/2/23,#7854,R5
OFFBEAT IDEA,Thing,11/2/23,#7854,BR
ANGEL FOOD CAKE,Food & Drink,11/3/23,#7855,T1
REESE WITHERSPOON,Proper Name,11/3/23,#7855,T2
PICTURE-PERFECT POOL PARTY,Same Letter,11/3/23,#7855,R1
ORDERING ROOM SERVICE FOR THE MY SUITE,What Are You Doing?,11/3/23,#7855,R2
RANDOM ACT OF KINDNESS,Thing,11/3/23,#7855,R3*
BALD EAGLE,Living Thing,11/3/23,#7855,T3
CALIFORNIA CONDOR,Living Thing,11/3/23,#7855,T4
DODO BIRD,Living Thing,11/3/23,#7855,T5
LET'S NOT DILLY-DALLY,Phrase,11/3/23,#7855,R4
PICK WISELY,Phrase,11/3/23,#7855,BR
NEWSPAPER HEADLINE,Thing,11/6/23,#7856,T1
COLUMBUS OHIO,On the Map,11/6/23,#7856,T2
POPULAR LOCAL SURF SHOP,Event,11/6/23,#7856,R1
WINTER COAT OF PAINT,Before & After,11/6/23,#7856,R2
AMAZING TRANSFORMATION,Event,11/6/23,#7856,R3*
HEIRLOOM TOMATOES,Food & Drink,11/6/23,#7856,T3
CHERRY TOMATOES,Food & Drink,11/6/23,#7856,T4
TOMATO JUICE,Food & Drink,11/6/23,#7856,T5
THE SKY'S THE LIMIT,Phrase,11/6/23,#7856,R4
HYPE UP THE CROWD,Phrase,11/6/23,#7856,BR
PAIR OF BINOCULARS,Around the House,11/7/23,#7857,T1
BICYCLE HELMET,What Are You Wearing?,11/7/23,#7857,T2
MY HOMETOWN BY BRUCE SPRINGSTEEN,Song/Artist,11/7/23,#7857,R1
LION GOOD COLD KIND,_____ Hearted,11/7/23,#7857,R2^
EXPERT IN THE FIELD,Person,11/7/23,#7857,R3*
BUYING NEW TIRES,What Are You Doing?,11/7/23,#7857,T3
PUTTING AIR IN THE TIRES,What Are You Doing?,11/7/23,#7857,T4
FIXING A FLAT,What Are You Doing?,11/7/23,#7857,T5
I'M TRYING TO CONCENTRATE,Phrase,11/7/23,#7857,R4
VALUABLE WORK,Thing,11/7/23,#7857,BR
MIAMI DOLPHINS,Proper Name,11/8/23,#7858,T1
BRIDAL REGISTRY,Thing,11/8/23,#7858,T2
CROSSING THE GOLDEN GATE BRIDGE,Event,11/8/23,#7858,R1
OLYMPIC & THUMB WRESTLING,Same Name,11/8/23,#7858,R2
PULLING DOUBLE DUTY,What Are You Doing?,11/8/23,#7858,R3*
CHEESE GRATER,In the Kitchen,11/8/23,#7858,T3
CHEESE KNIFE,In the Kitchen,11/8/23,#7858,T4
CHEESE BOARD,In the Kitchen,11/8/23,#7858,T5
HIGHLY RECOMMENDED,Phrase,11/8/23,#7858,R4
ENJOYING THE JOURNEY,What Are You Doing?,11/8/23,#7858,BR
LEXINGTON KENTUCKY,On the Map,11/9/23,#7859,T1
A PART OF HISTORY,Phrase,11/9/23,#7859,T2
THE LATEST AND GREATEST,Rhyme Time,11/9/23,#7859,R1
WORKING THE ROOM FOR RENT,Before & After,11/9/23,#7859,R2
STRIKES SPARES & GUTTER BALLS,Fun & Games,11/9/23,#7859,R3*
RECREATIONAL VEHICLE,Thing,11/9/23,#7859,T3
SPORTS UTILITY VEHICLE,Thing,11/9/23,#7859,T4
ELECTRIC SCOOTER,Thing,11/9/23,#7859,T5
LOUNGE SINGER,Person,11/9/23,#7859,R4
QUICK FAVOR TO ASK,Phrase,11/9/23,#7859,BR
COMMEMORATIVE COINS,Around the House,11/10/23,#7860,T1
LAW-ABIDING CITIZEN,Person,11/10/23,#7860,T2
SAFE STRONG SECURE,Same Letter,11/10/23,#7860,R1
KENNEDY SPACE CENTER,Landmark,11/10/23,#7860,R2
BENDING OVER BACKWARDS,What Are You Doing?,11/10/23,#7860,R3*
FIRST-PLACE TROPHY,Thing,11/10/23,#7860,T3
SECOND-PLACE TROPHY,Thing,11/10/23,#7860,T4
CONSOLATION PRIZE,Thing,11/10/23,#7860,T5
PLAYING HIDE-AND-SEEK,Fun & Games,11/10/23,#7860,R4
A LIVELY BUNCH OF KIDS,People,11/10/23,#7860,BR
GOURMET RESTAURANT,Place,11/13/23,#7861,T1
SPANNING THE GLOBE,Phrase,11/13/23,#7861,T2
SKATES SWEATERS & STOCKINGS,Same Letter,11/13/23,#7861,R1
GETTING A JUMP ON THE COMPETITION,What Are You Doing?,11/13/23,#7861,R2
FLUTTERING BUTTERFLIES,Living Things,11/13/23,#7861,R3*
SCHOOL BELLS,Things,11/13/23,#7861,T3
CHURCH BELLS,Things,11/13/23,#7861,T4
JINGLE BELLS,Things,11/13/23,#7861,T5
TELEVISION DIRECTOR,Show Biz,11/13/23,#7861,R4
EXCHANGING VOWS,What Are You Doing?,11/13/23,#7861,BR
SHOPPING LIST,Around the House,11/14/23,#7862,T1
A RECENT GRADUATE,Person,11/14/23,#7862,T2
THE ADVENTURE OF A LIFETIME,Event,11/14/23,#7862,R1
DIVING & CUTTING BOARD,Same Name,11/14/23,#7862,R2
HOW THE GRINCH STOLE CHRISTMAS!,Title,11/14/23,#7862,R3*
SOFT PRETZELS,Food & Drink,11/14/23,#7862,T3
HARD PRETZELS,Food & Drink,11/14/23,#7862,T4
YOGURT-COVERED PRETZELS,Food & Drink,11/14/23,#7862,T5
PRECIOUS METALS,Things,11/14/23,#7862,R4
DRIZZLED HONEY,Food & Drink,11/14/23,#7862,BR
STONE FIREPLACE,Thing,11/15/23,#7863,T1
PERSONAL TRAINER,Occupation,11/15/23,#7863,T2
TAKING A MUCH-NEEDED BREAK,What Are You Doing?,11/15/23,#7863,R1
LAW & ORDER OF BUFFALO WINGS,Before & After,11/15/23,#7863,R2
SETTING A WORLD RECORD,Event,11/15/23,#7863,R3*
PADDLING A CANOE,Fun & Games,11/15/23,#7863,T3
PADDLING A KAYAK,Fun & Games,11/15/23,#7863,T4
PEDALING A BICYCLE,Fun & Games,11/15/23,#7863,T5
BABY SHAMPOO,Around the House,11/15/23,#7863,R4
OUR USUAL HANGOUT,Place,11/15/23,#7863,BR
OLD FAMILY RECIPE,Thing,11/16/23,#7864,T1
ROLLER DERBY,Fun & Games,11/16/23,#7864,T2
THE BEST WE HAVE TO OFFER,Phrase,11/16/23,#7864,R1
CHOCOLATE POUND HOT CUP,_____ Cake,11/16/23,#7864,R2^
AUNTS UNCLES AND COUSINS,People,11/16/23,#7864,R3*
STRETCHING BEFORE A RACE,What Are You Doing?,11/16/23,#7864,T3
WAITING AT THE STARTING LINE,What Are You Doing?,11/16/23,#7864,T4
MAKING SURE MY SHOES ARE TIED,What Are You Doing?,11/16/23,#7864,T5
SCOTTISH TERRIER,Living Thing,11/16/23,#7864,R4
FAMOUS AUTHORS,People,11/16/23,#7864,BR
TWINKLING LIGHTS,Around the House,11/17/23,#7865,T1
EMPEROR PENGUIN,Living Thing,11/17/23,#7865,T2
HEARTWARMING HANDWRITTEN CARDS,Things,11/17/23,#7865,R1
CAN YOU KEEP A SECRET SANTA,Before & After,11/17/23,#7865,R2
CHEWY FUDGE BROWNIES,Food & Drink,11/17/23,#7865,R3*
WRESTLING CHAMPION,Person,11/17/23,#7865,T3
BOXING CHAMPION,Person,11/17/23,#7865,T4
HOT DOG EATING CHAMPION,Person,11/17/23,#7865,T5
JOGGING ON A TREADMILL,What Are You Doing?,11/17/23,#7865,R4
A JUICY BURGER,Food & Drink,11/17/23,#7865,BR
EXCELLENT WEATHER,Thing,11/20/23,#7866,T1
CRICKETS AND GRASSHOPPERS,Living Things,11/20/23,#7866,T2
SPRING SIDEWALK SALE,Same Letter,11/20/23,#7866,R1
GOING FOR A RIDE ON THE RIVERFRONT,What Are You Doing?,11/20/23,#7866,R2
ONE DOZEN GLAZED DOUGHNUTS,Food & Drink,11/20/23,#7866,R3*
BUSY FREEWAY,Place,11/20/23,#7866,T3
INTERSTATE HIGHWAY,Place,11/20/23,#7866,T4
COBBLESTONE ALLEY,Place,11/20/23,#7866,T5
REALITY CHECK,Phrase,11/20/23,#7866,R4
YOUNG VISIONARY,Person,11/20/23,#7866,BR
MAKING A GRAND ENTRANCE,What Are You Doing?,11/21/23,#7867,T1
PHILADELPHIA EAGLES,Proper Name,11/21/23,#7867,T2
FRESH GUACAMOLE MADE TABLESIDE,Food & Drink,11/21/23,#7867,R1
PART-TIME NANNY GOAT,Before & After,11/21/23,#7867,R2
ANOTHER DAY ANOTHER DOLLAR,Phrase,11/21/23,#7867,R3*
FROSTED MUG,Around the House,11/21/23,#7867,T3
FANCY GOBLET,Around the House,11/21/23,#7867,T4
BABY BOTTLE,Around the House,11/21/23,#7867,T5
DEEP-SEA FISHING BOAT,Thing,11/21/23,#7867,R4
VOUCH FOR THEM,Phrase,11/21/23,#7867,BR
PEARL EARRINGS,What Are You Wearing?,11/22/23,#7868,T1
GRAHAM CRACKERS,Food & Drink,11/22/23,#7868,T2
BRILLIANT CORAL REEF,Place,11/22/23,#7868,R1
ROLLING & BOWLING PIN,Same Name,11/22/23,#7868,R2
A LOCKET IN MY POCKET,Rhyme Time,11/22/23,#7868,R3*
VIRGINIA BEACH,On the Map,11/22/23,#7868,T3
MIAMI BEACH,On the Map,11/22/23,#7868,T4
MUSCLE BEACH,On the Map,11/22/23,#7868,T5
POSITIVE CASH FLOW,Thing,11/22/23,#7868,R4
AHEAD OF THE PACK,Phrase,11/22/23,#7868,BR
PSYCHIC PREDICTIONS,Things,11/23/23,#7869,T1
FLYING FIRST-CLASS,What Are You Doing?,11/23/23,#7869,T2
THE LAS VEGAS STRIP OF BACON,Before & After,11/23/23,#7869,R1
SEASIDE GARDEN PARADISE,Place,11/23/23,#7869,R2
YOUR BIGGEST FAN,Person,11/23/23,#7869,R3*
VISITING A LANDMARK,Event,11/23/23,#7869,T3
SEEING THE SIGHTS,Event,11/23/23,#7869,T4
SEEING A MIRAGE,Event,11/23/23,#7869,T5
CALICO CAT,Living Thing,11/23/23,#7869,R4
VERY AMBITIOUS,Phrase,11/23/23,#7869,BR
INTRODUCING MYSELF,What Are You Doing?,11/24/23,#7870,T1
BAR HARBOR MAINE,On the Map,11/24/23,#7870,T2
PLUNGING DOWN THE WATERSLIDE,Fun & Games,11/24/23,#7870,R1
ELBOW SPARE WASH DARK,_____ Room,11/24/23,#7870,R2^
ORIGINAL BROADWAY CAST,Show Biz,11/24/23,#7870,R3*
LUCKY CHARM,Thing,11/24/23,#7870,T3
LUCKY PENNY,Thing,11/24/23,#7870,T4
LUCKY GUESS,Thing,11/24/23,#7870,T5
BEAUTIFUL LANDSCAPE,Place,11/24/23,#7870,R4
LIGHT AND BUBBLY,Phrase,11/24/23,#7870,BR
PRESSURE COOKER,In the Kitchen,11/27/23,#7871,T1
BIG SISTER,Person,11/27/23,#7871,T2
A MAJOR MILESTONE,Event,11/27/23,#7871,R1
PLYMOUTH ROCK CLIMBER,Before & After,11/27/23,#7871,R2
HOMEMADE TRAIL MIX,Food & Drink,11/27/23,#7871,R3*
ALUMINUM STEPLADDER,Thing,11/27/23,#7871,T3
WOODEN STAIRCASE,Thing,11/27/23,#7871,T4
GLASS ELEVATOR,Thing,11/27/23,#7871,T5
AND THE CROWD WENT WILD,Phrase,11/27/23,#7871,R4
HANDPICKED VEGGIES,Food & Drink,11/27/23,#7871,BR
HIKING BOOTS,What Are You Wearing?,11/28/23,#7872,T1
MEASURING CUP,In the Kitchen,11/28/23,#7872,T2
SPICY SMOKED SAUSAGE,Same Letter,11/28/23,#7872,R1
DON'T FORGET TO BRING THE CAMERA,Phrase,11/28/23,#7872,R2
TOSSING COINS INTO A WISHING WELL,What Are You Doing?,11/28/23,#7872,R3*
MELTED CHOCOLATE,Food & Drink,11/28/23,#7872,T3
MELTED MARSHMALLOWS,Food & Drink,11/28/23,#7872,T4
S'MORES,Food & Drink,11/28/23,#7872,T5
FUTURE GENERATIONS,People,11/28/23,#7872,R4
PAY US A VISIT,Phrase,11/28/23,#7872,BR
SCENIC STATE PARK,Place,11/29/23,#7873,T1
FORGOT MY PASSWORD,Phrase,11/29/23,#7873,T2
MOUTHWATERING DESSERTS,Food & Drink,11/29/23,#7873,R1
TWENTY PERCENT TIP OF THE ICEBERG,Before & After,11/29/23,#7873,R2
INVITATION TO A SURPRISE PARTY,Thing,11/29/23,#7873,R3*
CAMPING IN THE WOODS,What Are You Doing?,11/29/23,#7873,T3
CAMPING UNDER THE STARS,What Are You Doing?,11/29/23,#7873,T4
CAMPING IN THE BACKYARD,What Are You Doing?,11/29/23,#7873,T5
FLOWERS IN FULL BLOOM,Living Things,11/29/23,#7873,R4
FOLLOWING A PATH,What Are You Doing?,11/29/23,#7873,BR
LONG-DISTANCE RUNNER,Person,11/30/23,#7874,T1
HIGH SCHOOL CLASS REUNION,Event,11/30/23,#7874,T2
AWE-INSPIRING SIGHTS,Things,11/30/23,#7874,R1
HAND WATER GAS AIR,_____ Pump,11/30/23,#7874,R2^
THAT'S THE WAY THE COOKIE CRUMBLES,Phrase,11/30/23,#7874,R3*
GARDEN TOOLS,Around the House,11/30/23,#7874,T3
GARDEN HOSE,Around the House,11/30/23,#7874,T4
GARDEN GNOME,Around the House,11/30/23,#7874,T5
MAKING A PIT STOP,What Are You Doing?,11/30/23,#7874,R4
A BIT FUZZY,Phrase,11/30/23,#7874,BR
RAY OF SUNSHINE,Thing,12/1/23,#7875,T1
SINK OR SWIM,Phrase,12/1/23,#7875,T2
AMERICA'S FUNNIEST HOME VIDEOS,TV Title,12/1/23,#7875,R1
SLEEPING & DOGGIE BAG,Same Name,12/1/23,#7875,R2
ENJOYING THE COOL BREEZE,What Are You Doing?,12/1/23,#7875,R3*
YELLOW PEPPERS,Food & Drink,12/1/23,#7875,T3
RED PEPPERS,Food & Drink,12/1/23,#7875,T4
PEPPER JACK CHEESE,Food & Drink,12/1/23,#7875,T5
RIDING A MOUNTAIN BIKE,Fun & Games,12/1/23,#7875,R4
GIVE ME ADVICE,Phrase,12/1/23,#7875,BR
HOLIDAY YULE LOG,Around the House,12/4/23,#7876,T1
PORTLAND OREGON,On the Map,12/4/23,#7876,T2
EARTH'S MIGHTIEST HEROES,Characters,12/4/23,#7876,R1
MAKING A SPECIAL APPEARANCE,Event,12/4/23,#7876,R2
BRAND-NEW PAIR OF BLUE JEANS,What Are You Wearing?,12/4/23,#7876,R3*
CAESAR SALAD,Food & Drink,12/4/23,#7876,T3
WALDORF SALAD,Food & Drink,12/4/23,#7876,T4
SALAD DRESSING,Food & Drink,12/4/23,#7876,T5
EXCLUSIVE MEMBERSHIP,Thing,12/4/23,#7876,R4
A BRIGHT YOUNGSTER,Person,12/4/23,#7876,BR
BABES IN TOYLAND,Title,12/5/23,#7877,T1
ORIGINAL SCREENPLAY,Show Biz,12/5/23,#7877,T2
COOKIES CRANBERRIES & CANDY CANES,Same Letter,12/5/23,#7877,R1
UNFORGETTABLE MOMENT,Thing,12/5/23,#7877,R2
POSING FOR A FAMILY PORTRAIT,What Are You Doing?,12/5/23,#7877,R3*
THE HOME TEAM,People,12/5/23,#7877,T3
THE VISITING TEAM,People,12/5/23,#7877,T4
THE DREAM TEAM,People,12/5/23,#7877,T5
THAT MAKES COMPLETE SENSE,Phrase,12/5/23,#7877,R4
SPIFFY BLAZER,What Are You Wearing?,12/5/23,#7877,BR
PLUM PUDDING,Food & Drink,12/6/23,#7878,T1
SHOPPING MALL,Place,12/6/23,#7878,T2
FISHING & NORTH POLE,Same Name,12/6/23,#7878,R1
GONNA FIND OUT WHO'S NAUGHTY AND NICE,Song Lyrics,12/6/23,#7878,R2
DECORATING THE WHOLE HOUSE,What Are You Doing?,12/6/23,#7878,R3*
TIME TO RECHARGE,Phrase,12/6/23,#7878,T3
TIME TO REFUEL,Phrase,12/6/23,#7878,T4
TIME TO REDO EVERYTHING,Phrase,12/6/23,#7878,T5
PERSONALIZED STATIONERY,Around the House,12/6/23,#7878,R4
JUST HUMOR ME,Phrase,12/6/23,#7878,BR
THE NUTCRACKER,Title,12/7/23,#7879,T1
FINANACIAL ADVISOR,Occupation,12/7/23,#7879,T2
THE MOST WONDERFUL TIME OF THE YEAR,Song Lyrics,12/7/23,#7879,R1
EXOTIC LOCATIONS,Places,12/7/23,#7879,R2
HONEY-MUSTARD GLAZED HAM,Food & Drink,12/7/23,#7879,R3*
FAST-FORWARDING,What Are You Doing?,12/7/23,#7879,T3
REWINDING,What Are You Doing?,12/7/23,#7879,T4
PAUSING,What Are You Doing?,12/7/23,#7879,T5
PRECIOUS KEEPSAKES,Around the House,12/7/23,#7879,R4
OPENING A JAR,What Are You Doing?,12/7/23,#7879,BR
GOOSE DOWN PILLOWS,Around the House,12/8/23,#7880,T1
MY WORKOUT ROUTINE,Thing,12/8/23,#7880,T2
CARD PRESENT CAKE SUIT,It's Your Birthday,12/8/23,#7880,R1^
THE COLD NEVER BOTHERED ME ANYWAY,Song Lyrics,12/8/23,#7880,R2
WARMING MY HANDS BY THE FIRE,What Are You Doing?,12/8/23,#7880,R3*
LUNCH COUNTER,Place,12/8/23,#7880,T3
DELI COUNTER,Place,12/8/23,#7880,T4
FRAGRANCE COUNTER,Place,12/8/23,#7880,T5
CREAM OF TOMATO SOUP,Food & Drink,12/8/23,#7880,R4
A PRIVATE COVE,Place,12/8/23,#7880,BR
PEPPERMINT STICKS,Food & Drink,12/11/23,#7881,T1
AUTOGRAPH COLLECTOR,Person,12/11/23,#7881,T2
YOSEMITE & YELLOWSTONE,On the Map,12/11/23,#7881,R1
A BREATH OF FRESH AIR MATTRESS,Before & After,12/11/23,#7881,R2
CATCHING SNOWFLAKES ON MY TONGUE,What Are You Doing?,12/11/23,#7881,R3*
GENEROUS GIFT,Thing,12/11/23,#7881,T3
THE PERFECT GIFT,Thing,12/11/23,#7881,T4
THE GIFT OF GAB,Thing,12/11/23,#7881,T5
PATCHWORK QUILT,Around the House,12/11/23,#7881,R4
A FAVORABLE OUTCOME,Thing,12/11/23,#7881,BR
